year,inflation,interest,earn_all,weekly_all,earn_men,weekly_men,earn_women,weekly_wo,earn_white,weekly_wh,earn_wm,earn_ww,earn_black,weekly_blk,earn_bm,earn_bw,earn_asian,weekly_as,earn_am,earn_aw,earn_hisp,weekly_hisp,earn_hm,earn_hw,earn_nohs,weekly_nohs,earn_hs,weekly_hs,earn_assoc,weekly_assoc,earn_bach,weekly_bach,earn_bachp,weekly_bachp,earn_adv,weekly_adv,stock_dija,stock_sp
1980,0.135,0.1336,0.0871,262,0.0719,313,0.1044,201,0.0847,269,0.0738,0.1033,0.0653,212,0.0749,0.0947,,,,,0.0773,209,0.0685,0.0955,0.0571,222,0.0683,266,0.078,304,,,0.093,376,,,0.1493,0.2577
1981,0.1032,0.1638,0.084,284,0.0863,340,0.0896,219,0.0818,291,0.0938,0.0887,0.1085,235,0.0984,0.1135,,,,,0.067,223,0.0726,0.1047,0.0811,240,0.0752,286,0.0658,324,,,0.0824,407,,,-0.0923,-0.0973
1982,0.0616,0.1226,0.0634,302,0.0706,364,0.0913,239,0.0653,310,0.0714,0.095,0.0426,245,0.0373,0.0534,,,,,0.0762,240,0.0717,0.0684,0.0333,248,0.0559,302,0.0833,351,,,0.0762,438,,,0.1961,0.1476
1983,0.0321,0.0909,0.0364,313,0.0412,379,0.0544,252,0.0323,320,0.032,0.0496,0.0653,261,0.0576,0.0691,,,,,0.0417,250,0.0186,0.0591,0.0323,256,0.0298,311,0.0342,363,,,0.0525,461,,,0.2027,0.1727
1984,0.0432,0.1023,0.0415,326,0.0343,392,0.0516,265,0.05,336,0.0362,0.0551,0.0307,269,0.0306,0.0388,,,,,0.036,259,0.0474,0.0372,0.0273,263,0.0386,323,0.0523,382,,,0.0542,486,,,-0.0374,0.014
1985,0.0356,0.081,0.0552,344,0.0383,407,0.0453,277,0.0595,356,0.0424,0.0485,0.0297,277,0.0066,0.0456,,,,,0.0425,270,0.0314,0.0314,0.0266,270,0.031,333,0.0445,399,,,0.0412,506,,,0.2766,0.2633
1986,0.0186,0.0681,0.0436,359,0.0295,419,0.0505,291,0.0421,371,0.0359,0.0463,0.0505,291,0.0459,0.0476,,,,,0.0259,277,0.0101,0.0478,0.0296,278,0.033,344,0.0251,409,,,0.0375,525,,,0.2258,0.1462
1987,0.0365,0.0666,0.0418,374,0.0358,434,0.0412,303,0.035,384,0.0393,0.0442,0.0344,301,0.0251,0.0455,,,,,0.0289,285,0.0234,0.0415,0.0216,284,0.0349,356,0.0293,421,,,0.0743,564,,,0.0226,0.0203
1988,0.0414,0.0757,0.0294,385,0.0346,449,0.0396,315,0.0286,395,0.0333,0.0358,0.0432,314,0.0642,0.0435,,,,,0.0175,290,0.0065,0.0359,0.0141,288,0.0337,368,0.0214,430,,,0.0372,585,,,0.1185,0.124
1989,0.0482,0.0922,0.0364,399,0.0423,468,0.0413,328,0.0354,409,0.0366,0.0503,0.0159,319,0,0.0451,,,,,0.0276,298,0.0227,0.0346,0.0313,297,0.019,375,0.0512,452,,,0.041,609,,,0.2696,0.2725
1990,0.054,0.081,0.0326,412,0.0278,481,0.0549,346,0.0367,424,0.0249,0.0569,0.0313,329,0.0374,0.0233,,,,,0.0201,304,0.0095,0.0335,0.0202,303,0.0293,386,0.0531,476,,,0.0476,638,,,-0.0434,-0.0656
1991,0.0421,0.0569,0.034,426,0.0249,493,0.0578,366,0.0425,442,0.0243,0.0567,0.0578,348,0.0388,0.0487,,,,,0.0263,312,0.0157,0.0504,0.0132,307,0.0285,397,0.0273,489,,,0.0439,666,,,0.2032,0.2631
1992,0.0301,0.0352,0.0329,440,0.0162,501,0.0383,380,0.0362,458,0.0158,0.0375,0.0259,357,0.0133,0.0372,,,,,0.0288,321,0.0495,0.0342,0.013,311,0.0151,403,-0.0102,484,,,0.045,696,,,0.0417,0.0446
1993,0.0299,0.0302,0.0432,459,0.018,510,0.0342,393,0.0371,475,0.0195,0.0362,0.0336,369,0.0316,0.0388,,,,,0.0312,331,0.0206,0.0364,0.0096,314,0.0298,415,0.0207,494,,,0.0273,715,,,0.1372,0.0706
1994,0.0256,0.042,0.0174,467,0.0235,522,0.0153,399,0.0189,484,0.0439,0.0175,0.0054,371,0.0204,-0.0057,,,,,-0.0211,324,-0.0087,-0.0256,-0.0223,307,0.0145,421,0.0101,499,,,0.0252,733,,,0.0214,-0.0154
1995,0.0283,0.0584,0.0257,479,0.0307,538,0.0175,406,0.0207,494,0.0347,0.0172,0.0323,383,0.0275,0.026,,,,,0.0154,329,0.0204,0,0.0065,309,0.0261,432,0.018,508,,,0.0191,747,,,0.3345,0.3411
