year,period,periodName,date,CUUR0000SEHD,CUUR0000SEHG,CUUR0000SEHH,CUUR0000SEHJ,CUUR0000SEHK,CUUR0000SEHL,CUUR0000SEHM,CUUR0000SEHN,CUUR0000SEHP,CUUR0000SEMC,CUUR0000SEMD,CUUR0000SEME,CUUR0000SEMF,CUUR0000SEMG,CUUR0000SERA,CUUR0000SERA01,CUUR0000SERA02,CUUR0000SERA03,CUUR0000SERA04,CUUR0000SERA05,CUUR0000SERA06,CUUR0000SERB,CUUR0000SERB01,CUUR0000SERB02,CUUR0000SERC,CUUR0000SERC01,CUUR0000SERC02,CUUR0000SERD,CUUR0000SERD01,CUUR0000SERD02,CUUR0000SERE,CUUR0000SERE01,CUUR0000SERE02,CUUR0000SERE03,CUUR0000SERF,CUUR0000SERF02,CUUR0000SERF03,CUUR0000SERG,CUUR0000SERG01,CUUR0000SERG02,CUUR0000SETA,CUUR0000SETB,CUUR0000SETC,CUUR0000SETD,CUUR0000SETE,CUUR0000SETF,CUUR0000SETG,CUUR0000SETG01,CUUR0000SETG02
2022,M05,May,2022-05-01,149.795,270.844,60.585,137.398,89.325,54.893,105.362,215.957,227.202,408.873,980.975,195.213,126.516,100.542,113.457,1.300,546.733,9.599,67.884,25.295,78.757,199.268,220.210,295.833,127.587,175.798,87.348,80.455,59.819,130.255,34.510,29.678,104.937,112.198,180.960,403.070,346.301,281.646,216.399,98.688,127.847,393.950,174.963,333.258,594.437,199.663,318.823,344.853,160.377
2022,M04,April,2022-04-01,149.895,270.419,60.848,137.665,90.134,56.004,104.103,213.732,222.581,408.209,979.305,191.433,126.356,98.593,112.568,1.325,540.675,9.535,66.371,25.263,79.313,198.626,217.956,297.108,127.853,176.212,87.491,79.727,58.845,129.713,34.489,29.688,103.252,112.705,180.483,402.643,346.248,281.751,215.880,99.109,127.338,365.314,172.308,331.735,592.317,199.462,286.601,297.143,160.419
2022,M03,March,2022-03-01,149.886,269.621,60.338,135.635,90.029,56.777,103.766,211.063,218.692,408.052,976.121,187.599,126.307,98.274,112.236,1.354,537.930,9.529,65.888,25.002,78.819,196.819,216.289,293.950,126.733,175.074,86.446,79.189,59.412,127.398,34.474,29.780,98.739,113.171,180.940,408.404,345.041,276.223,210.152,98.116,126.417,368.440,170.323,329.992,589.143,199.703,250.489,243.689,159.391
2022,M02,February,2022-02-01,150.018,269.521,59.851,134.841,88.934,55.764,102.933,209.758,216.240,406.917,971.164,183.578,126.013,98.487,112.225,1.391,535.075,9.645,65.627,25.589,78.968,192.891,212.692,287.047,127.469,176.722,86.518,78.683,59.231,126.290,34.512,29.925,96.562,112.278,181.287,413.596,345.094,284.417,218.607,99.608,126.822,307.422,170.629,331.130,584.317,200.009,234.857,222.227,157.493
2022,M01,January,2022-01-01,149.942,268.128,59.776,134.732,88.254,53.975,102.350,206.962,215.125,406.197,970.276,180.070,125.504,98.971,111.376,1.395,529.522,9.449,65.304,25.621,79.855,190.444,209.441,284.202,126.795,177.096,85.159,78.317,58.838,125.879,34.065,29.550,94.736,111.143,180.003,406.999,344.338,274.720,207.647,98.459,126.211,291.767,167.991,325.448,574.042,199.710,226.308,210.762,156.059
2021,M12,December,2021-12-01,150.408,265.365,58.849,131.628,86.014,52.752,100.522,203.693,215.646,404.764,958.317,175.263,124.437,97.692,110.531,1.396,524.005,9.501,65.463,25.480,79.733,188.497,207.516,280.986,123.733,172.140,83.575,77.661,58.434,124.677,33.620,29.144,95.540,108.658,179.075,405.863,341.467,272.606,206.266,97.559,124.853,291.510,165.122,324.688,567.875,199.162,225.937,208.954,159.987
2021,M11,November,2021-11-01,150.113,264.580,58.597,129.017,85.419,52.268,100.055,201.718,214.057,404.220,960.327,172.437,124.422,97.192,111.366,1.449,526.649,9.786,66.027,25.568,79.385,186.695,206.598,276.713,125.235,176.251,82.999,78.763,59.162,126.589,33.562,29.064,97.160,108.179,179.303,408.902,341.685,275.845,208.250,99.106,122.436,297.841,162.524,325.076,568.239,198.874,229.161,215.159,159.699
2021,M10,October,2021-10-01,150.535,264.278,59.744,128.263,86.523,51.919,99.181,201.313,213.658,403.378,963.080,169.540,124.232,97.624,111.704,1.490,527.003,9.810,67.220,25.340,79.954,186.424,206.487,276.029,124.886,174.922,83.399,77.827,59.668,123.495,33.379,28.873,96.018,108.802,181.010,418.100,341.557,274.424,208.246,97.840,120.192,289.665,160.727,325.095,564.507,198.275,222.577,205.994,158.209
2021,M09,September,2021-09-01,150.920,263.747,60.319,127.817,86.659,51.327,96.124,199.900,215.682,403.271,957.583,166.229,123.507,97.362,111.917,1.534,527.652,9.985,66.850,24.748,79.820,186.043,206.448,274.898,122.967,171.661,82.573,77.749,59.686,123.267,33.359,28.850,95.714,108.860,178.200,405.305,341.669,274.225,206.844,98.605,117.947,279.367,158.454,320.446,566.211,198.675,219.394,198.975,162.105
2021,M08,August,2021-08-01,150.428,262.810,58.079,124.877,85.334,50.923,95.479,199.041,209.136,403.860,955.940,167.834,123.164,96.435,111.756,1.545,525.761,9.882,67.418,25.187,79.549,185.437,205.495,274.420,123.413,172.229,82.889,77.624,59.483,123.208,33.566,29.010,98.574,108.771,177.538,401.483,343.802,274.180,206.990,98.455,119.475,278.461,157.120,320.504,566.183,198.251,229.893,212.882,165.504
2021,M07,July,2021-07-01,150.710,261.706,56.752,122.111,84.317,51.014,95.124,199.611,207.952,402.687,949.676,168.868,123.433,95.572,111.160,1.497,524.411,9.632,66.097,25.413,79.624,185.297,205.637,273.772,120.636,167.529,81.672,77.597,58.835,123.984,33.334,28.849,100.908,105.834,177.167,400.229,343.407,272.834,205.213,98.472,120.058,276.650,154.484,318.031,567.463,198.421,249.703,243.613,165.829
