year,period,periodName,date,CUUR0000SA0,CUUR0000SAA,CUUR0000SAA1,CUUR0000SAA2,CUUR0000SAE,CUUR0000SAE1,CUUR0000SAF,CUUR0000SAF1,CUUR0000SAF11,CUUR0000SAF116,CUUR0000SAG,CUUR0000SAG1,CUUR0000SAH,CUUR0000SAH1,CUUR0000SAH2,CUUR0000SAH21,CUUR0000SAH3,CUUR0000SAM,CUUR0000SAM1,CUUR0000SAM2,CUUR0000SAR,CUUR0000SAT,CUUR0000SAT1,CUUR0000SEAA,CUUR0000SEAB,CUUR0000SEAC,CUUR0000SEAD,CUUR0000SEAE,CUUR0000SEAE01,CUUR0000SEAE02,CUUR0000SEAE03,CUUR0000SEAF,CUUR0000SEAG,CUUR0000SEAG01,CUUR0000SEAG02,CUUR0000SEEA,CUUR0000SEEB,CUUR0000SEEE,CUUR0000SEFV,CUUR0000SEGA,CUUR0000SEGA01,CUUR0000SEGA02,CUUR0000SEGB,CUUR0000SEGC,CUUR0000SEGD,CUUR0000SEGE,CUUR0000SEHA,CUUR0000SEHB,CUUR0000SEHC
2022,M05,May,2022-05-01,292.296,126.970,123.127,105.491,143.108,279.356,300.081,302.038,285.953,272.293,502.966,256.147,297.868,350.580,295.153,250.594,142.736,543.488,386.273,594.243,130.360,274.282,271.545,126.066,110.537,106.687,99.311,144.589,149.057,166.087,130.748,122.903,185.496,151.856,182.834,717.038,801.837,7.250,325.952,1338.572,552.622,314.399,164.174,311.454,492.985,85.535,365.116,194.733,358.469
2022,M04,April,2022-04-01,289.109,127.126,123.096,106.563,143.212,278.647,296.915,298.711,282.161,271.376,500.673,255.213,295.259,348.389,286.339,241.059,142.110,541.515,385.307,591.940,129.892,266.892,265.383,125.928,110.823,107.458,101.844,143.995,148.427,163.521,130.835,120.308,183.522,152.890,180.142,701.848,800.327,7.297,323.559,1327.276,548.065,311.298,163.713,309.947,493.539,83.499,362.951,189.951,356.439
2022,M03,March,2022-03-01,287.504,128.919,124.868,108.263,143.475,278.388,294.064,295.728,278.612,270.352,498.538,254.111,293.577,346.618,283.376,238.029,141.358,539.739,385.084,589.652,129.437,264.525,264.669,127.740,112.418,109.488,101.935,145.306,150.070,167.136,131.151,121.735,187.593,151.237,185.559,702.848,799.517,7.371,321.689,1321.917,545.331,312.062,163.175,308.692,490.670,83.330,361.083,184.463,354.968
2022,M02,February,2022-02-01,283.716,127.868,124.996,106.733,143.913,278.380,291.244,292.794,274.568,269.128,496.045,252.862,291.504,344.607,279.032,233.300,140.306,536.932,384.304,586.177,129.116,253.150,253.525,127.924,112.378,107.893,100.724,144.497,149.399,166.679,130.164,122.351,182.549,153.529,178.778,699.194,799.639,7.404,320.880,1314.838,543.212,307.297,161.496,310.075,485.806,84.051,359.627,172.949,353.512
2022,M01,January,2022-01-01,281.148,124.079,120.948,101.805,143.876,278.087,288.264,289.772,270.711,266.749,490.856,249.954,289.889,342.604,278.758,233.373,139.162,535.048,382.984,584.111,127.937,248.424,248.995,122.869,111.432,102.766,96.780,141.803,147.901,162.380,127.319,118.218,190.928,152.118,189.367,702.326,798.643,7.425,319.471,1306.913,539.197,308.292,160.224,306.709,479.831,82.192,357.737,163.968,352.005
2021,M12,December,2021-12-01,278.802,121.068,117.390,99.745,143.844,277.904,285.556,286.966,267.555,265.410,487.131,247.561,287.511,341.241,270.831,225.435,136.787,530.026,379.611,578.555,126.695,246.499,246.999,119.059,108.730,100.767,94.434,140.219,145.560,159.639,126.630,114.780,177.170,150.074,173.210,683.632,798.837,7.427,317.372,1308.024,540.914,303.512,159.060,302.994,477.817,79.416,355.931,165.472,350.508
2021,M11,November,2021-11-01,277.948,122.383,119.242,101.275,143.884,278.097,284.168,285.507,266.384,264.957,484.683,246.445,286.308,339.997,270.444,225.221,135.345,528.877,379.483,577.076,126.952,245.532,245.735,121.205,109.477,102.385,95.558,140.655,146.328,160.449,126.685,116.751,174.715,145.114,171.902,682.911,799.443,7.420,315.481,1298.746,536.761,302.958,159.359,300.653,474.401,79.323,354.526,166.080,349.152
2021,M10,October,2021-10-01,276.589,124.323,119.422,103.960,143.974,278.047,282.943,284.205,265.478,264.748,483.592,246.307,285.310,338.671,270.577,225.447,134.745,527.564,379.003,575.493,127.301,241.042,241.413,121.596,108.897,105.143,97.898,141.310,146.220,162.369,127.389,118.341,184.240,147.534,183.358,685.851,799.166,7.443,313.592,1287.067,531.816,300.842,160.038,299.962,474.208,78.449,352.892,169.076,347.522
2021,M09,September,2021-09-01,274.310,123.406,118.796,102.298,143.807,277.551,280.452,281.506,262.695,264.980,479.525,244.840,283.744,337.451,266.559,221.196,133.462,524.818,376.842,572.559,126.438,236.373,236.655,121.530,106.268,102.986,98.452,141.066,146.376,161.778,126.999,117.040,188.399,148.287,188.476,685.005,797.726,7.470,310.996,1263.542,520.983,300.878,159.755,300.838,469.066,76.373,351.255,174.644,345.824
2021,M08,August,2021-08-01,273.567,121.194,116.610,99.943,143.011,275.373,278.201,279.135,259.825,264.315,479.048,244.968,282.391,336.284,264.303,218.980,132.076,525.247,375.685,573.500,126.245,238.333,237.994,119.797,102.497,100.925,94.809,138.975,143.982,155.985,126.541,113.446,191.241,151.745,190.855,687.667,791.123,7.423,309.336,1254.492,517.138,299.304,159.966,301.932,466.928,77.297,349.710,178.758,344.327
2021,M07,July,2021-07-01,273.003,119.078,113.589,98.539,142.386,273.812,277.187,278.127,259.022,263.226,477.103,243.789,281.604,335.812,262.320,217.106,131.024,524.219,376.323,571.934,125.588,239.722,238.055,115.653,103.592,99.454,93.713,136.707,142.475,154.073,123.653,111.639,189.214,152.476,187.945,695.360,786.143,7.364,308.023,1253.276,516.725,298.569,159.111,300.262,465.255,76.792,348.469,187.487,343.293
2021,M06,June,2021-06-01,271.696,120.324,113.204,101.006,142.174,273.169,275.380,276.206,257.412,262.913,473.718,241.907,280.366,334.222,260.400,215.355,131.131,522.989,375.697,570.509,124.893,237.701,235.331,115.050,104.000,101.689,97.195,137.910,144.216,156.941,123.835,111.899,186.471,153.739,183.902,691.804,784.380,7.338,305.634,1247.577,514.294,297.604,159.296,293.908,462.991,76.484,347.833,175.746,342.258
2021,M05,May,2021-05-01,269.195,120.951,114.749,101.288,142.002,272.544,273.441,274.212,255.516,261.711,473.011,241.814,278.648,332.454,255.631,210.371,131.086,523.918,377.191,571.255,124.769,229.689,227.144,116.911,104.367,101.668,98.827,138.385,144.981,158.131,123.833,111.481,186.617,151.157,185.072,691.128,782.548,7.357,303.481,1240.082,510.579,298.916,159.678,293.245,462.325,76.633,347.016,163.276,341.095
2021,M04,April,2021-04-01,267.054,120.656,115.006,101.321,141.742,271.829,272.367,273.090,254.760,261.265,473.649,242.303,277.258,331.354,253.460,207.988,129.321,524.585,377.284,572.108,124.546,222.547,220.742,116.578,106.748,102.048,97.308,137.479,144.842,155.786,122.947,110.591,182.968,153.380,179.488,686.521,780.614,7.361,301.819,1238.348,509.948,297.791,160.308,294.971,461.446,76.739,346.267,158.737,340.162
2021,M03,March,2021-03-01,264.877,120.746,115.850,101.877,141.289,271.559,271.135,271.812,253.231,260.652,472.607,241.735,276.028,330.122,251.797,206.271,128.350,524.734,375.111,573.009,123.567,215.761,214.743,117.403,107.644,102.772,97.114,136.288,142.743,150.570,123.915,107.753,182.651,149.586,180.516,677.099,780.209,7.242,300.897,1236.352,509.124,297.424,159.962,294.980,461.258,75.150,345.717,147.470,339.565
2021,M02,February,2021-02-01,263.014,119.998,115.138,101.743,141.679,272.539,270.672,271.363,252.716,260.011,469.886,240.366,275.137,329.005,251.277,205.820,127.935,524.207,374.905,572.378,123.021,209.054,207.664,117.781,103.015,101.789,100.765,135.095,141.815,151.066,121.928,108.827,175.144,146.121,172.078,693.357,782.437,7.261,300.540,1228.750,506.058,295.071,160.214,293.726,455.705,74.866,345.242,138.283,338.918
2021,M01,January,2021-01-01,261.582,117.785,113.504,98.301,141.556,272.238,270.260,270.938,252.107,259.765,467.995,239.535,274.336,328.282,248.879,203.476,127.716,522.133,377.546,568.778,122.140,205.631,203.963,115.305,104.455,97.492,101.155,133.687,140.705,152.742,119.186,108.665,179.725,146.565,177.861,684.568,781.914,7.280,300.382,1220.942,502.735,293.502,159.785,293.012,452.841,75.182,344.758,136.034,338.181
2020,M12,December,2020-12-01,260.474,114.434,108.861,95.581,141.549,272.437,269.383,270.023,251.253,259.397,466.332,239.497,273.684,327.702,247.236,202.017,127.367,518.766,377.921,564.201,122.692,203.560,201.523,110.482,100.567,95.138,96.825,132.314,135.585,153.400,119.693,109.706,165.197,146.158,159.141,686.054,782.444,7.288,299.369,1199.508,493.672,289.385,158.846,290.861,457.446,74.749,344.455,133.538,337.695
2020,M11,November,2020-11-01,260.229,116.602,110.649,97.974,141.534,272.359,268.539,269.069,250.407,259.995,464.211,238.477,273.290,327.435,245.807,200.670,127.134,519.848,378.810,565.345,123.016,202.828,200.039,112.646,100.962,98.269,95.913,134.281,137.779,156.981,120.861,111.688,166.018,143.649,161.160,681.564,782.403,7.280,298.253,1192.609,490.481,289.619,159.758,287.932,453.714,74.840,344.039,135.954,337.247
2020,M10,October,2020-10-01,260.388,119.172,112.383,101.854,141.469,272.465,269.169,269.828,251.937,258.936,463.919,238.600,273.014,327.273,244.978,199.995,126.821,520.725,380.371,565.999,122.581,203.086,200.711,114.356,102.738,102.623,97.652,134.374,139.258,150.983,122.262,109.933,173.682,144.976,170.613,683.131,782.652,7.243,297.893,1186.127,487.648,288.945,159.704,287.565,456.580,73.425,343.615,138.300,336.965
