year,period,periodName,date,CUUR0000SETG03,CUUR0000SAE2,CUUR0000SAE21,CUUR0000SEEC,CUUR0000SERF01,CUUR0000SA0L1,CUUR0000SA0L12,CUUR0000SA0LE,CUUR0000SA0L5,CUUR0000SA0L2,CUUR0000SA0L1E,CUUR0000SA0L12E4,CUUR0000SA0L12E
2022,M05,May,2022-05-01,337.501,75.341,71.053,218.320,150.851,290.760,264.868,293.092,280.207,272.550,292.506,261.361,260.146
2022,M04,April,2022-04-01,336.078,75.576,71.284,217.756,150.116,287.595,261.255,291.199,276.967,268.974,290.846,260.020,258.776
2022,M03,March,2022-03-01,335.348,75.866,71.568,217.305,149.578,286.196,260.018,289.456,275.372,267.420,289.305,258.321,257.366
2022,M02,February,2022-02-01,330.176,76.267,71.959,216.816,149.004,282.281,255.235,287.972,271.543,262.949,288.059,256.942,256.529
2022,M01,January,2022-01-01,326.681,76.292,71.991,215.705,148.622,279.782,252.505,285.779,268.947,260.156,285.996,254.861,254.448
2021,M12,December,2021-12-01,327.564,76.298,71.986,217.153,147.742,277.506,249.810,283.593,266.729,257.431,283.908,252.533,251.992
2021,M11,November,2021-11-01,324.752,76.294,71.974,217.832,146.886,276.747,249.264,282.397,265.889,256.714,282.754,252.043,250.894
2021,M10,October,2021-10-01,321.476,76.391,72.070,217.775,146.754,275.379,247.875,281.238,264.530,255.337,281.617,251.429,249.864
2021,M09,September,2021-09-01,322.801,76.341,72.107,209.672,146.223,273.165,245.218,279.366,262.275,252.664,279.884,249.780,247.878
2021,M08,August,2021-08-01,329.094,76.061,71.831,209.971,146.267,272.680,245.033,278.691,261.479,252.072,279.507,249.078,247.913
2021,M07,July,2021-07-01,333.603,75.808,71.588,209.659,146.031,272.186,244.528,278.235,260.938,251.473,279.146,248.462,247.614
2021,M06,June,2021-06-01,330.963,75.748,71.532,209.453,145.415,270.975,243.483,277.161,259.628,250.261,278.218,247.993,247.036
2021,M05,May,2021-05-01,325.914,75.721,71.508,209.281,145.417,268.394,240.537,274.891,256.971,247.484,275.893,247.125,244.439
2021,M04,April,2021-04-01,327.319,75.630,71.420,209.232,146.026,266.093,237.700,273.092,254.703,244.958,273.968,245.687,242.101
2021,M03,March,2021-03-01,321.568,75.255,71.054,209.285,145.734,263.775,234.896,270.989,252.421,242.430,271.713,244.174,239.333
2021,M02,February,2021-02-01,317.766,75.412,71.208,209.167,145.500,261.688,232.376,270.060,250.497,240.288,270.696,243.504,238.376
2021,M01,January,2021-01-01,309.540,75.361,71.199,205.418,145.086,260.098,230.398,269.199,249.098,238.594,269.755,242.424,237.329
2020,M12,December,2020-12-01,309.029,75.311,71.171,203.321,145.185,258.959,229.010,268.613,248.096,237.289,269.226,241.759,236.831
2020,M11,November,2020-11-01,309.338,75.313,71.176,203.146,144.728,258.826,228.936,268.680,247.790,237.052,269.473,242.169,237.342
2020,M10,October,2020-10-01,309.809,75.228,71.093,203.092,144.308,258.891,229.102,268.671,247.916,237.328,269.328,241.816,237.207
2020,M09,September,2020-09-01,322.913,75.181,71.046,203.214,143.042,258.871,229.142,268.338,247.719,237.237,269.054,241.605,236.874
2020,M08,August,2020-08-01,296.674,75.271,71.134,203.128,139.393,258.465,228.608,268.073,247.304,236.785,268.756,241.498,236.485
2020,M07,July,2020-07-01,318.165,74.980,70.852,203.113,139.042,257.553,227.475,267.149,246.479,235.820,267.703,240.841,235.111
2020,M06,June,2020-06-01,318.720,73.655,69.564,202.921,145.961,255.900,225.426,266.097,245.207,234.316,266.302,239.436,233.390
2020,M05,May,2020-05-01,320.218,73.793,69.699,202.818,151.327,254.486,223.627,265.471,243.812,232.598,265.799,238.773,232.916
2020,M04,April,2020-04-01,325.612,73.854,69.756,203.017,147.657,254.746,224.331,265.465,243.907,232.860,266.089,239.563,233.740
2020,M03,March,2020-03-01,325.612,73.719,69.622,203.278,147.256,257.382,228.099,265.896,245.778,235.184,267.312,241.387,235.539
2020,M02,February,2020-02-01,324.988,73.793,69.693,203.393,146.023,258.165,229.390,265.734,246.445,236.084,267.268,241.844,235.659
2020,M01,January,2020-01-01,323.882,73.790,69.749,197.850,146.473,257.476,228.926,264.540,245.789,235.553,266.004,240.588,234.373
2019,M12,December,2019-12-01,322.767,73.541,69.532,195.407,145.706,256.516,228.109,263.450,244.861,234.656,264.935,239.454,233.426
2019,M11,November,2019-11-01,326.193,73.578,69.569,195.354,144.777,256.839,228.802,263.545,245.206,235.162,265.108,239.999,233.955
2019,M10,October,2019-10-01,324.915,73.190,69.189,195.409,143.243,256.973,229.222,263.527,245.418,235.538,265.059,240.116,234.150
2019,M09,September,2019-09-01,324.016,73.195,69.196,195.286,141.790,256.401,228.479,262.969,245.020,234.802,264.522,239.317,233.432
2019,M08,August,2019-08-01,326.006,73.272,69.271,195.293,142.489,256.250,228.658,262.592,244.836,234.853,264.169,238.745,233.367
2019,M07,July,2019-07-01,323.420,73.219,69.218,195.329,141.982,256.286,228.952,262.059,245.000,235.071,263.566,238.181,232.735
2019,M06,June,2019-06-01,322.159,73.034,69.038,195.341,140.561,255.825,228.659,261.696,244.653,234.791,263.177,238.200,232.585
2019,M05,May,2019-05-01,325.265,72.989,68.994,195.317,140.975,255.759,229.061,261.203,244.629,235.131,262.590,238.051,232.280
2019,M04,April,2019-04-01,321.668,73.032,69.037,195.310,143.983,255.194,228.655,260.925,244.134,234.723,262.332,238.012,232.380
2019,M03,March,2019-03-01,322.114,72.943,68.950,195.278,143.262,253.643,226.909,260.505,242.776,233.290,261.836,237.836,232.222
2019,M02,February,2019-02-01,321.011,73.097,69.100,195.230,143.416,252.077,225.199,259.817,241.335,231.792,261.114,237.480,231.788
2019,M01,January,2019-01-01,320.203,73.103,69.184,188.597,142.221,250.974,224.129,258.855,240.270,230.765,260.122,236.570,230.902
2018,M12,December,2018-12-01,319.570,73.007,69.134,184.858,141.454,250.605,224.062,257.794,239.900,230.492,259.083,235.524,229.872
2018,M11,November,2018-11-01,318.699,73.031,69.153,185.310,141.997,251.657,225.902,257.692,240.766,231.856,259.105,235.969,230.278
2018,M10,October,2018-10-01,318.701,73.862,69.964,185.310,139.847,252.636,227.577,257.653,241.728,233.231,259.063,236.373,230.517
2018,M09,September,2018-09-01,319.629,74.099,70.195,185.343,139.350,252.116,227.127,257.118,241.287,232.868,258.429,235.840,229.910
2018,M08,August,2018-08-01,320.866,73.983,70.083,185.231,139.263,251.827,226.890,256.717,241.006,232.615,258.012,234.829,229.489
2018,M07,July,2018-07-01,319.781,74.171,70.267,185.214,138.538,251.716,227.132,256.545,240.812,232.755,257.867,235.146,229.748
2018,M06,June,2018-06-01,318.544,74.129,70.228,185.104,138.376,251.775,227.608,256.325,240.756,233.054,257.697,235.517,229.953
2018,M05,May,2018-05-01,321.918,73.997,70.099,185.066,138.208,251.333,227.240,256.112,240.391,232.727,257.469,235.546,229.929
2018,M04,April,2018-04-01,320.602,73.808,69.916,184.914,137.973,250.117,226.011,255.750,239.339,231.735,257.025,235.421,229.888
2018,M03,March,2018-03-01,320.384,73.883,69.988,184.987,138.748,249.102,224.927,255.275,238.305,230.692,256.610,235.187,229.717
2018,M02,February,2018-02-01,320.379,74.015,70.117,184.988,137.874,248.469,224.545,254.555,237.767,230.358,255.783,234.707,229.090
2018,M01,January,2018-01-01,318.775,74.354,70.473,182.910,138.316,247.161,222.971,253.594,236.677,229.080,254.638,233.347,227.726
